UserID,Age,City,Salary,Score
1,56,Chicago,91717,55.16
2,46,Chicago,95859,59.17
3,32,New York,71309,51.28
4,60,Chicago,108734,71.19
5,25,Chicago,115467,54.51
6,38,New York,97662,62.93
7,56,Chicago,57688,46.07
8,36,Phoenix,70342,26.53
9,40,Los Angeles,82157,52.41
10,28,Los Angeles,112863,62.14
11,28,New York,97083,59.2
12,41,Houston,110733,47.49
13,53,New York,79698,66.28
14,57,Houston,67671,50.73
15,41,Los Angeles,70184,47.14
16,20,New York,87107,51.9
17,39,Phoenix,96663,43.79
18,19,Chicago,60708,27.0
19,41,Houston,94811,50.73
20,61,Chicago,47811,52.65
21,47,Chicago,101250,64.29
22,55,New York,117082,82.89
23,19,Chicago,79754,31.54
24,38,Phoenix,56411,26.23
25,50,Chicago,47911,46.95
26,29,New York,112270,65.75
27,39,Phoenix,53680,33.18
28,61,Los Angeles,116295,94.65
29,42,Chicago,56111,45.69
30,44,New York,82504,67.43
31,59,Los Angeles,46802,58.31
32,45,Los Angeles,53155,51.7
33,33,Houston,118656,50.52
34,32,Phoenix,84384,40.11
35,64,Chicago,92254,60.81
36,61,New York,66918,64.39
37,20,Houston,105713,39.29
38,54,Phoenix,75306,45.0
39,24,Houston,61646,42.07
40,38,Phoenix,91843,32.22
41,26,Phoenix,61371,29.84
42,56,Chicago,47049,39.05
43,35,Phoenix,76616,33.13
44,21,Houston,65932,35.72
45,42,Phoenix,74855,38.78
46,31,Chicago,106434,47.04
47,26,Chicago,117694,49.73
48,43,Houston,88016,51.3
49,19,Los Angeles,52400,31.57
50,37,Los Angeles,87642,55.87
51,45,Phoenix,60151,35.77
52,64,New York,96407,72.66
53,24,Phoenix,111690,51.23
54,61,Houston,49499,48.52
55,25,Houston,51295,17.76
56,64,Houston,104040,64.14
57,52,Houston,57183,39.85
58,31,Houston,74299,42.05
59,34,Chicago,57874,35.4
60,53,Los Angeles,77711,59.24
61,57,Houston,50539,46.19
62,21,New York,98351,59.33
63,19,New York,106267,50.38
64,23,New York,93354,52.83
65,59,New York,47557,56.39
66,21,Chicago,83360,37.24
67,46,New York,47200,60.99
68,35,Houston,113497,53.57
69,43,Phoenix,91975,37.79
70,61,New York,66357,70.0
71,51,Chicago,47869,55.47
72,27,Chicago,106135,55.5
73,53,New York,95108,62.44
74,31,Phoenix,83467,33.12
75,48,New York,68328,65.83
76,32,Chicago,48987,32.16
77,25,Los Angeles,103871,55.88
78,31,Houston,67399,39.59
79,40,Chicago,91214,47.73
80,57,New York,115271,77.78
81,38,Houston,89064,29.51
82,33,New York,115091,60.91
83,62,New York,85818,70.48
84,35,Los Angeles,90525,48.42
85,64,Houston,64830,59.61
86,41,Houston,62429,32.08
87,43,Los Angeles,51893,44.87
88,42,Chicago,92333,54.35
89,62,New York,48436,67.74
90,58,Phoenix,119290,52.61
91,46,New York,50895,59.08
92,32,New York,64738,50.47
93,62,Chicago,75746,53.82
94,18,New York,94377,54.62
95,42,Los Angeles,93404,60.02
96,24,Los Angeles,99045,48.71
97,26,Houston,84790,38.79
98,41,Phoenix,50600,28.75
99,18,New York,85764,50.3
100,61,New York,119543,84.67
